iter	Passed	Remaining
0	0	96
1	1	82
2	2	77
3	2	71
4	3	69
5	4	68
6	5	67
7	5	66
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	58
17	12	56
18	13	55
19	13	54
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	19	46
29	19	45
30	20	45
31	20	44
32	21	43
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	24	39
39	25	38
40	26	37
41	26	36
42	26	35
43	27	34
44	28	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	41	19
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	49	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	5
92	58	4
93	58	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
