iter	Passed	Remaining
0	124	123947
1	124	62370
2	125	41793
3	126	31507
4	127	25340
5	128	21227
6	129	18303
7	130	16192
8	131	14467
9	132	13085
10	132	11947
11	133	10997
12	134	10198
13	135	9521
14	136	8988
15	138	8507
16	139	8050
17	139	7637
18	140	7266
19	141	6937
20	142	6645
21	144	6420
22	145	6194
23	146	5960
24	147	5742
25	147	5540
26	148	5354
27	149	5181
28	150	5049
29	152	4941
30	153	4800
31	154	4667
32	155	4542
33	155	4425
34	156	4314
35	157	4216
36	159	4143
37	160	4053
38	160	3961
39	161	3874
40	162	3791
41	162	3713
42	163	3638
43	164	3570
44	165	3517
45	167	3463
46	167	3401
47	168	3342
48	169	3284
49	169	3228
50	170	3172
51	171	3123
52	172	3090
53	174	3052
54	174	3004
55	175	2958
56	176	2913
57	176	2870
58	177	2831
59	178	2792
60	179	2764
61	181	2739
62	181	2705
63	182	2670
64	183	2638
65	184	2604
66	184	2571
67	185	2543
68	186	2521
69	187	2494
70	188	2467
71	189	2438
72	189	2411
73	190	2384
74	191	2358
75	191	2333
76	192	2311
77	194	2299
78	195	2279
79	196	2256
80	196	2234
81	197	2211
82	197	2185
83	198	2164
84	199	2143
85	199	2123
86	201	2110
87	202	2096
88	203	2078
89	203	2058
90	204	2040
91	204	2022
92	205	2005
93	206	1988
94	207	1977
95	209	1973
96	210	1959
97	211	1943
98	211	1926
99	212	1910
100	212	1895
101	213	1882
102	214	1868
103	216	1862
104	217	1850
105	217	1837
106	218	1823
107	219	1809
108	219	1796
109	220	1783
110	221	1771
111	223	1769
112	224	1761
113	225	1748
114	225	1737
115	226	1725
116	226	1712
117	227	1700
118	228	1690
119	229	1684
120	231	1678
121	232	1669
122	232	1659
123	233	1649
124	234	1639
125	234	1629
126	235	1618
127	236	1609
128	237	1605
129	238	1598
130	239	1588
131	240	1578
132	240	1569
133	241	1560
134	242	1551
135	243	1544
136	246	1551
137	247	1544
138	247	1535
139	248	1527
140	249	1518
141	249	1508
142	250	1500
143	251	1497
144	253	1492
145	253	1485
146	254	1477
147	255	1469
148	255	1461
149	256	1453
150	257	1447
151	259	1447
152	260	1443
153	261	1436
154	262	1428
155	262	1421
156	263	1414
157	264	1407
158	264	1400
159	266	1398
160	267	1391
161	267	1385
162	268	1379
163	269	1373
164	270	1366
165	270	1360
166	271	1355
167	273	1353
168	274	1350
169	275	1344
170	276	1338
171	276	1333
172	277	1327
173	278	1321
174	279	1316
175	280	1312
176	281	1309
177	282	1304
178	283	1298
179	283	1293
180	284	1287
181	285	1281
182	285	1276
183	287	1274
184	289	1273
185	290	1269
186	291	1267
187	292	1263
188	294	1262
189	296	1263
190	297	1259
191	297	1254
192	298	1248
193	299	1243
194	300	1239
195	301	1237
196	303	1237
197	304	1232
198	305	1227
199	305	1222
200	306	1217
201	307	1214
202	308	1210
203	309	1207
204	310	1205
205	312	1205
206	313	1200
207	314	1198
208	316	1196
209	317	1194
210	320	1198
211	322	1197
212	324	1197
213	326	1199
214	328	1197
215	329	1194
216	330	1194
217	332	1192
218	333	1187
219	333	1183
220	335	1182
221	336	1180
222	339	1181
223	339	1177
224	340	1173
225	341	1168
226	342	1164
227	343	1162
228	344	1160
229	347	1162
230	348	1160
231	349	1156
232	350	1154
233	351	1150
234	353	1152
235	355	1150
236	356	1147
237	357	1145
238	359	1143
239	360	1142
240	362	1142
241	363	1139
242	365	1138
243	367	1139
244	368	1136
245	370	1134
246	371	1133
247	374	1134
248	375	1133
249	377	1131
250	377	1127
251	379	1126
252	381	1125
253	382	1123
254	383	1121
255	385	1119
256	387	1120
257	388	1118
258	389	1115
259	391	1113
260	392	1112
261	394	1110
262	395	1107
263	396	1104
264	398	1104
265	400	1105
266	403	1106
267	404	1104
268	405	1102
269	407	1100
270	409	1101
271	410	1098
272	412	1099
273	414	1099
274	415	1095
275	416	1092
276	417	1090
277	418	1086
278	419	1084
279	421	1083
280	423	1082
281	423	1079
282	424	1075
283	425	1072
284	426	1070
285	427	1068
286	430	1068
287	431	1065
288	432	1062
289	433	1061
290	434	1059
291	436	1058
292	437	1055
293	438	1052
294	439	1049
295	440	1048
296	442	1047
297	443	1044
298	444	1041
299	444	1038
300	445	1035
301	446	1032
302	447	1030
303	449	1028
304	450	1026
305	451	1024
306	452	1020
307	453	1017
308	453	1014
309	455	1012
310	456	1010
311	457	1009
312	458	1007
313	459	1004
314	460	1001
315	462	1000
316	463	999
317	465	997
318	465	994
319	467	992
320	468	990
321	469	988
322	470	987
323	471	984
324	472	981
325	473	978
326	474	976
327	475	974
328	477	974
329	479	972
330	479	969
331	480	967
332	482	965
333	483	964
334	484	962
335	485	959
336	485	956
337	486	952
338	487	950
339	488	947
340	489	945
341	490	943
342	493	945
343	494	943
344	496	942
345	498	941
346	500	942
347	502	941
348	504	940
349	506	939
350	507	937
351	507	934
352	508	932
353	510	931
354	512	931
355	514	929
356	515	927
357	516	925
358	517	923
359	519	922
360	520	921
361	521	919
362	523	918
363	524	917
364	527	916
365	527	914
366	528	911
367	529	909
368	530	907
369	531	905
370	533	905
371	534	902
372	535	900
373	537	899
374	538	897
375	540	897
376	541	895
377	543	893
378	544	892
379	545	890
380	547	889
381	548	887
382	549	884
383	550	882
384	551	881
385	553	879
386	554	878
387	555	875
388	555	873
389	556	870
390	557	868
391	559	867
392	561	867
393	562	864
394	562	861
395	563	859
396	564	857
397	565	855
398	566	854
399	568	852
400	569	850
401	570	848
402	571	846
403	572	844
404	574	843
405	575	841
406	576	839
407	577	837
408	579	837
409	581	836
410	582	834
411	583	832
412	584	830
413	585	828
414	587	828
415	588	826
416	589	823
417	590	821
418	590	819
419	591	817
420	592	815
421	594	814
422	595	812
423	596	810
